,CT_pred,ET_pred,IT_pred,Lamp5_pred,Pvalb_pred,Sncg_pred,Sst_pred,Vip_pred
CT_true,68,2,33,0,0,0,3,0
ET_true,1,34,11,0,1,0,2,0
IT_true,20,0,233,0,1,0,0,0
Lamp5_true,0,0,0,67,5,0,8,11
Pvalb_true,0,0,0,6,264,0,17,2
Sncg_true,0,0,0,2,0,0,0,11
Sst_true,0,0,1,0,17,0,247,7
Vip_true,0,0,1,4,2,0,27,119
