,CT_pred,ET_pred,IT_pred,Lamp5_pred,Pvalb_pred,Sncg_pred,Sst_pred,Vip_pred
CT_true,60,3,37,0,1,0,5,0
ET_true,2,34,11,0,1,0,1,0
IT_true,13,2,237,0,1,0,1,0
Lamp5_true,0,0,0,69,1,0,4,17
Pvalb_true,0,0,0,3,262,0,22,2
Sncg_true,0,0,0,2,0,0,1,10
Sst_true,1,0,1,2,30,0,224,14
Vip_true,0,0,1,10,2,0,33,107
