,CT_pred,ET_pred,IT_pred,Lamp5_pred,Pvalb_pred,Sncg_pred,Sst_pred,Vip_pred
CT_true,65,1,35,0,0,0,5,0
ET_true,1,33,14,0,0,0,1,0
IT_true,16,2,235,0,1,0,0,0
Lamp5_true,0,0,0,71,2,0,7,11
Pvalb_true,0,0,0,3,267,0,17,2
Sncg_true,0,0,0,2,0,0,0,11
Sst_true,0,0,1,1,20,0,241,9
Vip_true,0,0,1,4,2,0,28,118
