,CT_pred,ET_pred,IT_pred,Lamp5_pred,Pvalb_pred,Sncg_pred,Sst_pred,Vip_pred
CT_true,59,7,32,1,3,0,3,1
ET_true,6,33,9,0,1,0,0,0
IT_true,21,4,226,0,1,0,0,2
Lamp5_true,1,0,0,72,1,0,3,14
Pvalb_true,2,3,0,6,252,0,25,1
Sncg_true,0,0,0,2,0,0,0,11
Sst_true,1,0,2,1,26,0,225,17
Vip_true,2,0,2,12,1,2,26,108
